,Stock Name,Change,Date,QT,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open,pricediff,results
0,BBCP,1.10%,31-Dec,4,Industrial Goods,290550000.0,0.29818036,-0.155245668,0.001231427,0.000882741,0.000882741,3-Hold ,STRONG BUY,,D,"Concrete Pumping Holdings, Inc.",General Building Materials,USA,,5.44,46779.0,Today After Market EPS,,120.7,,,31.45,0.86,64.57,,1.09,,,0.7,1.32,,Dec 30/a,,1.16,,,0.6,,,,116410.0,7500000.0,8.62,26.56,0.0,53.0,-3.05,53410000.0,5.56,-1.45,13.1,37.03,-2.86,-33.9,-33.98,1.2,0.4,5.61,3.61,-57.27,72.16,0.27,,0.36,70.79,11.84,9.81,31.19,-1.09,1.1,0
1,NEOG,-1.59%,1-Jan,1,Healthcare,3440000000.0,0.132239714,0.0062241430000000006,0.001564121,0.031077095,0.019618172,4-Sell ,HOLD,,D,Neogen Corporation,Diagnostic Substances,USA,57.5,65.26,179914.0,Tomorrow Before Market EPS,12.0,10.31,15.2,-5.2,48.81,5.17,11.83,65.85,8.28,4.79,10.9,11.7,0.0,,Jan 02/b,46.5,0.0,16.5,14.3,9.5,8.7,9.5,8.8,172210.0,51820000.0,5.38,0.2,-84.7,96.2,2.86,52770000.0,16.2,8.33,-1.97,1.01,-0.78,14.49,14.49,2.8,1.04,2.79,2.51,-18.25,28.97,1.94,1.38,-0.39,41.95,-3.1,1.29,-1.4,0.99,-1.59,0
2,CALM,0.13%,2-Jan,1,Consumer Goods,2080000000.0,0.377115446,0.013211198,0.000633227,0.001440029,0.001440029,3-Hold ,HOLD,,D,"Cal-Maine Foods, Inc.",Food - Major Diversified,USA,,41.99,56613.0,Tomorrow Before Market EPS,-10.0,1987.5,-13.2,-34.8,28.31,2.2,8.8,,1.65,,-1.1,6.7,0.0,2.01,Jan 03/b,11.7,0.0,-2.4,-0.3,4.2,-0.3,-0.4,3.0,322440.0,30250000.0,15.51,31.09,0.0,76.9,-0.71,48590000.0,14.55,1.33,-1.79,9.31,-0.3,1.06,1.06,3.4,0.48,1.77,1.49,-10.6,14.65,0.77,0.41,0.07,42.33,-2.67,1.06,-0.93,-1.78,0.13,0
3,JEF,-1.40%,2-Jan,1,Financial,6390000000.0,0.204970782,7.96e-05,0.000423272,0.000423272,0.000312963,3-Hold ,BUY,,D,Jefferies Financial Group Inc.,Investment Brokerage - Regional,USA,5.68,21.52,271685.0,Today After Market EPS,18.0,-47.61,11.1,123.9,15.13,0.66,0.35,,1.39,0.32,-14.9,0.9,1.93,2.34,Jan 02/a,57.1,1.06,-12.3,17.4,0.9,1.7,8.1,2.4,1550000.0,249690000.0,2.3,9.7,-2.62,75.2,1.92,299030000.0,3.72,17.25,2.25,17.68,1.23,31.51,31.51,2.0,0.51,1.24,0.93,-1.33,35.03,0.28,1.51,0.56,63.78,1.27,14.75,5.93,0.05,-1.4,0
4,LNDC,-11.46%,2-Jan,1,Consumer Goods,335680000.0,0.185359605,7.8e-05,0.00036385,0.000433181,0.000403203,3-Hold ,BUY,,C,Landec Corporation,Farm Products,USA,,10.82,41103.0,Today After Market EPS,10.0,62.7,-36.3,-81.7,27.59,1.24,167.84,,0.59,,3.2,0.9,0.74,,Jan 02/a,14.0,0.43,0.3,-0.8,0.5,-0.9,-1.7,0.9,113430.0,28350000.0,4.53,0.7,68.9,87.0,-4.5,29680000.0,11.33,17.08,-1.31,5.11,-0.53,-4.48,-4.48,2.0,0.99,2.59,2.85,-18.5,19.89,0.3,0.76,1.06,41.18,-5.56,1.62,-0.83,-5.6,-11.46,0
5,LW,11.34%,2-Jan,1,Consumer Goods,12580000000.0,0.185548263,0.000115134,0.000198011,0.000198011,0.000236466,2-Buy ,BUY,,B,"Lamb Weston Holdings, Inc.",Food - Major Diversified,USA,26.72,84.78,383235.0,Tomorrow Before Market EPS,7.4,5.87,12.1,36.5,23.38,136.56,661.98,45.0,3.28,3.61,5.9,1.7,24.34,0.93,Jan 03/b,26.7,23.94,17.9,12.4,0.8,15.3,,22.9,987570.0,144860000.0,4.12,0.6,-0.15,92.4,0.81,146200000.0,6.05,37.38,2.44,16.94,0.62,16.95,16.95,1.7,1.07,1.2,1.05,-2.07,44.14,0.99,,-0.3,56.81,0.08,18.18,3.67,-1.14,11.34,1
6,PSTI,-0.71%,2-Jan,1,Healthcare,60640000.0,0.17955369899999998,,-0.000635899,-0.002600483,0.009185662,2-Buy ,BUY,,D,Pluristem Therapeutics Inc.,Biotechnology,Israel,,3.88,107330.0,Today After Market EPS,,23.1,7.6,-16.0,,3.46,3.28,,1212.73,,,2.7,0.0,,Jan 02/a,,0.0,,,2.7,-132.1,-213.1,,88010.0,14630000.0,0.57,6.86,0.0,7.8,-4.46,15390000.0,0.95,-31.48,17.61,6.49,-1.5,-50.01,-50.01,1.7,3.29,5.54,3.48,-67.39,24.76,0.2,1.08,0.0,53.81,1.56,-22.8,8.89,-1.52,-0.71,0
7,SITO,4.15%,2-Jan,1,Technology,6940000.0,-0.049005210999999986,0.001466425,0.014315584,0.032219526,-0.006582106999999999,3-Hold ,STRONG BUY,,D,"SITO Mobile, Ltd.",Wireless Communications,USA,,0.3,164477.0,Today After Market EPS,30.0,,-16.9,-124.9,,1.11,8.67,,0.16,,32.1,0.9,0.18,,Jan 02/a,40.6,0.0,-35.0,-34.2,0.9,-63.1,-139.7,-141.6,134430.0,23100000.0,5.09,0.7,,11.2,-4.63,25000000.0,8.75,-62.99,-31.69,-69.16,-0.82,-69.16,-69.16,1.0,3.3,15.15,16.41,-87.87,19.4,0.05,0.9,13.47,41.22,-3.53,-67.61,-35.74,-5.24,4.15,1
8,EXFO,-13.06%,8-Jan,1,Technology,273270000.0,0.020349476,0.003175212,0.02486387,0.021908362,0.01274933,3-Hold ,HOLD,,B,EXFO Inc.,Communication Equipment,Canada,,4.9,288287.0,Today After Market EPS,5.0,17.85,-40.6,76.2,14.0,1.57,14.09,28.17,0.95,,4.5,1.5,0.06,,Jan 07/a,58.1,0.02,1.7,-0.9,1.0,-0.9,-1.5,-0.1,29590.0,19290000.0,0.0,61.8,0.0,26.9,3.36,55770000.0,0.0,24.37,11.74,31.37,6.99,5.97,63.33,2.8,9.74,2.81,2.08,-1.41,63.33,0.13,1.21,2.48,70.71,9.44,21.07,12.22,-1.01,-13.06,0
9,GBX,-9.86%,8-Jan,1,Services,1040000000.0,0.203528384,8.47e-05,0.009983111,0.015999864,0.008931743,3-Hold ,HOLD,,F,"The Greenbrier Companies, Inc.",Railroads,USA,12.95,31.25,395726.0,Tomorrow Before Market EPS,7.0,-6.93,-9.0,-44.6,11.94,0.85,3.14,,0.34,1.85,6.6,,0.67,3.2,Jan 08/b,12.1,0.64,6.1,2.3,,2.7,5.6,6.7,299680.0,32000000.0,4.89,0.8,-2.86,90.1,-0.04,33130000.000000004,5.22,8.21,12.86,14.47,-0.86,-3.64,-24.17,2.8,1.32,2.88,2.93,-31.99,46.71,0.97,2.16,0.0,50.21,0.19,5.28,3.19,0.32,-9.86,0
10,LEN,0.79%,8-Jan,1,Industrial Goods,17510000000.0,0.104324175,-0.08471988800000001,-0.009107832,0.005333293,0.026396894,3-Hold ,BUY,,B,Lennar Corporation,Residential Construction,USA,9.4,57.14,5022461.0,Tomorrow Before Market EPS,7.0,9.56,21.4,67.5,9.43,1.18,16.75,,0.81,1.34,28.2,,0.67,0.28,Jan 08/b,14.1,0.54,8.6,6.5,,4.8,9.4,7.3,3070000.0,289370000.0,4.65,1.0,-2.27,,0.32,306430000.0,4.39,20.62,-4.45,-3.69,2.51,2.42,34.83,2.0,1.64,2.04,2.16,-8.77,38.79,1.16,1.04,0.07,48.81,-0.03,6.74,-2.43,-1.64,0.79,0
