results,Stock Name,Change,Date,QT,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open,pricediff
3,AFH,0.01%,31-Dec,4,Financial,5.22M,0.170795934,0.003519352,0.008154581,0.005940546,0.015979283,,HOLD,,F,"Atlas Financial Holdings, Inc.",Property & Casualty Insurance,USA,,0.44,"111,902",Today After Market EPS,,,19.08%,,,0.11,,,0.02,,,,,,Dec 30/a,,,,,,,,,131.57K,10.17M,0.47%,10.05%,0.00%,18.62%,,11.94M,0.37,-39.31%,-17.61%,15.08%,12.08%,-94.60%,-94.64%,3,0.85,12.50%,10.15%,-95.81%,32.38%,0.05,,-2.33%,44.98,-5.38%,-44.80%,-18.27%,4.05%,0.01
3,ASFI,0.05%,31-Dec,4,Services,67.90M,0.170795934,0.003519352,0.008154581,0.005940546,0.015979283,,,,A,"Asta Funding, Inc.",Business Services,USA,6.9,10.33,"1,366",Tomorrow Before Market EPS,10.00%,,53.20%,232.80%,,0.77,23.41,,3.52,0.69,-11.60%,,0,,Dec 31/b,100.00%,0,49.70%,47.10%,,10.30%,10.50%,8.70%,4.58K,2.33M,0.28%,0.10%,-45.57%,14.60%,-1.03%,6.57M,1.44,43.74%,-0.29%,54.25%,-0.44%,142.60%,184.54%,,0.3,0.69%,0.64%,-1.01%,156.44%,0.1,-0.24,0.10%,67.82,-0.46%,44.49%,9.23%,-0.82%,0.05
3,BBCP,1.10%,31-Dec,4,Industrial Goods,290.55M,0.29818036,-0.155245668,0.001231427,0.000882741,0.000882741,3-Hold ,STRONG BUY,,D,"Concrete Pumping Holdings, Inc.",General Building Materials,USA,,5.44,"46,779",Today After Market EPS,,120.70%,,,31.45,0.86,64.57,,1.09,,,0.7,1.32,,Dec 30/a,,1.16,,,0.6,,,,116.41K,7.50M,8.62%,26.56%,0.00%,53.00%,-3.05%,53.41M,5.56,-1.45%,13.10%,37.03%,-2.86%,-33.90%,-33.98%,1.2,0.4,5.61%,3.61%,-57.27%,72.16%,0.27,,0.36%,70.79,11.84%,9.81%,31.19%,-1.09%,1.1
4,CTST,5.89%,31-Dec,4,Healthcare,123.48M,0.29818036,-0.155245668,0.001231427,0.000882741,0.000882741,,,,D,CannTrust Holdings Inc.,Drugs - Generic,Canada,,0.87,"2,513,319",Tomorrow Before Market EPS,,,,,,,,,,,,,,,Dec 31/b,,,,,,,,,1.94M,115.33M,11.37%,,,,,141.18M,6.77,-82.92%,5.58%,-21.91%,4.64%,-81.87%,-82.68%,,1.3,5.90%,4.39%,-91.40%,16.61%,0.06,,0.38%,50.76,5.82%,-74.77%,-10.33%,7.98%,5.89
0,FWP,-9.58%,31-Dec,4,Healthcare,49.17M,0.536243293,0.005094803,0.007341681,0.005647674,0.004067773,,,,B,Forward Pharma A/S,Biotechnology,Denmark,,7.18,"14,629",Tomorrow Before Market EPS,21.00%,,23.40%,-104.00%,,0.09,,,,,,121.3,0,,Dec 31/b,,0,,,121.3,-6.90%,-7.50%,,20.58K,0.48M,0.26%,,,21.00%,0.84%,6.85M,0.06,-0.45%,25.96%,5.61%,5.32%,31.46%,38.57%,,0.71,13.49%,11.02%,-37.48%,44.40%,0.74,2.33,-2.45%,53.82,6.07%,2.56%,11.26%,0.25%,-9.58
3,GSUM,2.52%,31-Dec,4,Technology,40.27M,0.536243293,0.005094803,0.007341681,0.005647674,0.004067773,,,,D,Gridsum Holding Inc.,Application Software,China,,1.19,"124,949",Today After Market EPS,,,-56.90%,-114.00%,,,4.28,,0.9,,47.10%,0.8,,,Dec 30/a,68.40%,,,,0.8,,,-182.70%,42.73K,28.57M,0.92%,10.44%,0.00%,34.10%,5.49%,33.84M,6.14,-57.19%,-47.11%,-34.97%,-25.16%,-46.64%,-51.43%,,2.92,10.02%,8.51%,-74.63%,-7.75%,0.16,,-2.13%,25.65,-39.04%,-54.18%,-39.49%,-13.77%,2.52
5,TEDU,15.12%,31-Dec,4,Services,98.66M,-0.003320464,0.000521977,-0.009560176,0.013207879,-0.117114033,,STRONG SELL,,F,"Tarena International, Inc.",Education & Training Services,China,,1.72,"451,885",Today After Market EPS,-1.25%,75.50%,51.12%,-449.80%,,0.69,1.06,,0.31,,89.00%,0.9,0.01,,Dec 30/a,58.90%,0,-26.80%,-26.60%,0.9,-27.00%,-50.00%,-65.80%,147.62K,15.30M,3.49%,19.49%,0.00%,49.40%,-8.63%,57.36M,3.62,-27.43%,97.70%,73.74%,37.60%,-72.70%,-73.70%,5,3.06,11.90%,11.34%,-75.29%,150.25%,0.14,0.7,6.49%,81.04,66.83%,-26.10%,89.64%,4.88%,15.12
3,WEI,1.00%,31-Dec,4,Financial,215.53M,-0.003320464,0.000521977,-0.009560176,0.013207879,-0.117114033,,HOLD,,D,Weidai Ltd.,Credit Services,China,4.46,3.06,"21,243",Tomorrow Before Market EPS,,24.48%,,57.80%,0.27,0.44,1.26,,0.37,,,2.3,0.2,,Dec 31/b,58.30%,0.06,11.50%,8.30%,2.3,5.40%,12.90%,13.20%,29.31K,4.50M,0.34%,49.72%,0.00%,1.60%,-2.08%,70.45M,0.53,-68.20%,-49.68%,-49.93%,6.23%,-66.96%,-69.50%,3.5,0.72,10.47%,10.76%,-77.55%,13.73%,0.36,,4.01%,32.06,-16.98%,-63.10%,-40.85%,-1.63%,1
3,CETX,0.78%,31-Dec,4,Industrial Goods,5.04M,0.223387819,0.000158958,0.004081338,0.004081338,0.002493561,,STRONG BUY,,D,"Cemtrex, Inc.",Industrial Equipment & Components,USA,,1.3,"139,036",Today After Market EPS,,,,-388.40%,,0.08,3.15,,0.06,,45.80%,1.3,0.73,,Dec 31/a,38.30%,0.29,-19.30%,-19.50%,0.8,-22.60%,-48.50%,-15.30%,465.45K,2.79M,2.51%,29.85%,0.00%,8.80%,10.34%,3.88M,0.15,-44.68%,-7.80%,0.00%,3.17%,-71.70%,-71.70%,1,0.3,7.97%,6.30%,-83.91%,17.12%,0.09,1.32,-2.33%,50.62,1.60%,-37.44%,-5.16%,3.17%,0.78
2,CIG,-0.58%,31-Dec,4,Utilities,5.34B,0.027600567,,0.004400214,-0.035903418,-0.035903418,,HOLD,,C,Companhia Energetica de Minas Gerais,Electric Utilities,Brazil,6.17,3.41,"1,110,586",Today After Market EPS,0.00%,,-17.40%,18.90%,,1.18,13.81,30.12,0.88,,8.80%,1.3,0.9,4.40%,Dec 31/a,23.80%,0.73,12.50%,15.50%,1.3,6.50%,23.70%,6.50%,3.35M,1.13B,0.40%,1.00%,0.00%,11.90%,0.31%,1.57B,1.36,-8.82%,12.54%,-0.87%,2.71%,-4.21%,-4.21%,3,0.33,1.76%,1.37%,-17.03%,19.65%,0.07,0.14,-0.58%,66.42,6.68%,-2.18%,7.74%,0.00%,-0.58
2,GRAM,-1.20%,31-Dec,4,Services,425.28M,-0.393658098,,0.010522782,0.010522782,0.010522782,,BUY,,D,Grana y Montero S.A.A.,Technical Services,Peru,,2.47,"28,737",Today After Market EPS,4.96%,12.87%,-18.20%,-78.10%,6.4,0.6,,2.63,0.47,,-8.20%,1.3,0.65,,Dec 31/a,14.00%,0.48,6.90%,-2.10%,1.1,-0.90%,-2.90%,5.40%,108.52K,108.66M,0.07%,,,17.30%,-0.22%,172.18M,0.67,-18.48%,16.51%,9.78%,5.11%,-20.58%,-20.58%,2.5,0.26,4.09%,4.95%,-36.67%,35.71%,0.1,0.34,0.00%,62.77,9.01%,-11.84%,11.08%,-1.20%,-1.2
2,SAEX,-2.25%,31-Dec,4,Basic Materials,13.04M,0.019039959,,-0.729940067,-0.486484668,-0.019971232,,,,B,"SAExploration Holdings, Inc.",Oil & Gas Equipment & Services,USA,,3.04,"59,388",Today After Market EPS,,,,-17.70%,,0.69,,,0.09,,-17.30%,1.3,6.36,,Dec 31/a,6.00%,5.87,-35.20%,-56.70%,1.3,-56.50%,-527.30%,-62.10%,371.63K,3.10M,11.20%,13.88%,0.00%,38.00%,-0.85%,4.29M,0.93,-11.88%,27.36%,83.13%,-7.60%,62.57%,62.57%,,0.16,11.53%,6.22%,-53.94%,114.08%,0.3,3.27,0.00%,51.86,-7.02%,6.63%,23.77%,-2.25%,-2.25
4,BASI,4.24%,1-Jan,1,Services,49.75M,0.098363513,0.002136396,0.034767881,0.018684133,0.061078538,,,,A,"Bioanalytical Systems, Inc.",Research Services,USA,,4.95,"72,571",Tomorrow Before Market EPS,,,-17.50%,-121.90%,,5.05,99.49,,1.32,,3.60%,0.7,1.4,,Jan 02/b,29.80%,1.19,-2.00%,-3.40%,0.6,-3.90%,-12.20%,0.40%,58.42K,7.49M,0.60%,10.30%,10.39%,14.60%,20.64%,10.05M,0.77,147.50%,4.87%,49.55%,7.61%,289.76%,289.76%,,1.24,9.16%,9.71%,-8.84%,292.86%,0.4,0.77,0.41%,60.47,11.94%,67.95%,8.22%,0.81%,4.24
3,CUK,0.23%,1-Jan,1,Services,32.17B,0.195072337,0.000377818,0.046928241,0.041021843,0.047601838,,,,D,Carnival Corporation & Plc,General Entertainment,United Kingdom,10.91,48.16,"197,017",Tomorrow Before Market EPS,13.40%,,26.20%,23.50%,,1.31,27.9,,1.57,0.81,4.10%,0.3,0.42,4.15%,Jan 02/b,49.50%,0.35,16.30%,14.90%,0.2,7.00%,12.50%,9.40%,403.58K,156.58M,0.54%,,,8.60%,0.57%,668.06M,2.09,6.48%,13.10%,18.21%,0.02%,-1.17%,-1.17%,,0.49,1.53%,1.17%,-17.41%,26.37%,0.84,1.08,0.10%,75.86,7.87%,3.75%,12.38%,-0.29%,0.23
2,EARS,-1.23%,1-Jan,1,Healthcare,5.48M,0.177557792,0.015022848,0.004053906,0.004053906,0.003716876,,,,F,Auris Medical Holding Ltd.,Biotechnology,Switzerland,,1.62,"224,828",Tomorrow Before Market EPS,,,34.10%,87.00%,,0.38,0.93,,,,,3.5,0,,Jan 02/b,,0,,,3.5,-110.70%,-494.50%,,157.60K,2.91M,0.19%,11.82%,0.00%,13.30%,-2.39%,3.38M,0.04,-38.17%,8.72%,-39.78%,10.20%,-82.24%,-82.24%,,1.43,8.78%,13.80%,-85.13%,24.62%,0.14,-0.11,-0.59%,58.78,12.90%,-48.51%,6.54%,-3.57%,-1.23
